Submission time,User ID,Term,Course,Professor,Grade distribution,Recommend professor?
2023-12-23T05:50:18.840Z,259100ef37d22fcae62b973b4933094bcee3496ac77926eeb38eb2bb0a257df1,Fall Qtr 2022,MATH 20D,"Lee, Kisun","A+:5, A:6, A-:4, B+:7, B:3, B-:2, C+:3, C:1, C-:2, D:0, F:1, W:1, Total Students:35, Class GPA:3.19",
2023-12-23T05:50:18.840Z,259100ef37d22fcae62b973b4933094bcee3496ac77926eeb38eb2bb0a257df1,Spring Qtr 2022,CAT 3,"Burgasser, Adam Jonathan","A+:15, A:0, A-:0, B+:0, B:0, B-:0, C+:0, C:0, C-:0, D:0, F:0, Total Students:15, Class GPA:4",
2023-12-23T05:50:18.840Z,259100ef37d22fcae62b973b4933094bcee3496ac77926eeb38eb2bb0a257df1,Spring Qtr 2022,CSE 21,"Jones, Miles E","A+:5, A:32, A-:23, B+:15, B:17, B-:14, C+:6, C:5, C-:7, D:0, F:10, P:1, NP:0, W:2, Total Students:137, Class GPA:3.04",
2023-12-23T05:50:18.840Z,259100ef37d22fcae62b973b4933094bcee3496ac77926eeb38eb2bb0a257df1,Spring Qtr 2022,CSE 30,"Muller, P Keith","A+:16, A:52, A-:15, B+:24, B:20, B-:18, C+:3, C:17, C-:8, D:0, F:16, P:3, NP:0, W:12, Total Students:204, Class GPA:3.02",
2023-12-23T05:50:18.840Z,259100ef37d22fcae62b973b4933094bcee3496ac77926eeb38eb2bb0a257df1,Spring Qtr 2022,ECE 45,"Zeger, Kenneth A.","A+:8, A:13, A-:10, B+:12, B:19, B-:16, C+:8, C:9, C-:9, D:25, F:0, P:1, NP:0, W:4, Total Students:134, Class GPA:2.62",
2023-12-23T05:50:18.840Z,259100ef37d22fcae62b973b4933094bcee3496ac77926eeb38eb2bb0a257df1,Winter Qtr 2022,CAT 2,"Bigham, David Joseph","A+:0, A:1, A-:5, B+:6, B:3, B-:0, C+:0, C:0, C-:0, D:0, F:0, Total Students:15, Class GPA:3.42",
2023-12-23T05:50:18.840Z,259100ef37d22fcae62b973b4933094bcee3496ac77926eeb38eb2bb0a257df1,Winter Qtr 2022,CSE 12,"Alvarado, Christine J.","A+:1, A:9, A-:10, B+:9, B:5, B-:3, C+:2, C:0, C-:1, D:0, F:3, P:1, NP:0, Total Students:44, Class GPA:3.17",
2023-12-23T05:50:18.840Z,259100ef37d22fcae62b973b4933094bcee3496ac77926eeb38eb2bb0a257df1,Winter Qtr 2022,CSE 15L,"Politz, Joseph Gibbs","A+:0, A:40, A-:3, B+:2, B:0, B-:2, C+:0, C:1, C-:0, D:0, F:0, Total Students:48, Class GPA:3.86",
2023-12-23T05:50:18.840Z,259100ef37d22fcae62b973b4933094bcee3496ac77926eeb38eb2bb0a257df1,Winter Qtr 2022,CSE 20,"Jones, Miles E","A+:5, A:21, A-:8, B+:9, B:5, B-:4, C+:6, C:3, C-:6, D:0, F:5, P:1, NP:0, W:2, Total Students:75, Class GPA:3.04",
2023-12-23T05:50:18.840Z,259100ef37d22fcae62b973b4933094bcee3496ac77926eeb38eb2bb0a257df1,Winter Qtr 2022,ECE 35,"Schurgers, Curt","A+:6, A:3, A-:2, B+:0, B:1, B-:3, C+:1, C:1, C-:1, D:1, F:10, Total Students:29, Class GPA:2.12",
2023-12-23T05:50:18.840Z,259100ef37d22fcae62b973b4933094bcee3496ac77926eeb38eb2bb0a257df1,Fall Qtr 2021,CAT 1,"Chodorow, Stanley A.","A+:0, A:0, A-:7, B+:7, B:3, B-:0, C+:0, C:0, C-:0, D:0, F:0, Total Students:17, Class GPA:3.41",
2023-12-23T05:50:18.840Z,259100ef37d22fcae62b973b4933094bcee3496ac77926eeb38eb2bb0a257df1,Fall Qtr 2021,CSE 11,"Miranda, Gregory Joseph","A+:16, A:14, A-:4, B+:4, B:2, B-:1, C+:0, C:0, C-:1, D:3, F:1, P:1, NP:1, W:1, Total Students:49, Class GPA:3.51",
2023-12-23T05:50:18.840Z,259100ef37d22fcae62b973b4933094bcee3496ac77926eeb38eb2bb0a257df1,Fall Qtr 2021,MATH 18,"Zelmanov, Efim I","A+:5, A:7, A-:5, B+:3, B:2, B-:3, C+:1, C:1, C-:0, D:0, F:1, Total Students:28, Class GPA:3.39",
2023-12-23T05:50:18.840Z,259100ef37d22fcae62b973b4933094bcee3496ac77926eeb38eb2bb0a257df1,Fall Qtr 2021,MATH 20C,"Jin, Muzhi","A+:1, A:5, A-:0, B+:2, B:1, B-:1, C+:1, C:0, C-:0, D:0, F:0, Total Students:11, Class GPA:3.51",
2023-12-24T06:45:24.595Z,a8e0bba1bde9b2b5a38da0aa6195400a6b3eb360233b6d557d3f7e28add31954,Fall Qtr 2023,ECE 100,"Hall, Drew A.","A+:1, A:0, A-:2, B+:4, B:8, B-:1, C+:2, C:3, C-:0, D:1, F:2, W:4, Total Students:28, Class GPA:2.62",
2023-12-24T06:45:24.595Z,a8e0bba1bde9b2b5a38da0aa6195400a6b3eb360233b6d557d3f7e28add31954,Fall Qtr 2023,ECE 161A,"Harris, Frederick Joel","A+:16, A:12, A-:18, B+:5, B:5, B-:3, C+:1, C:2, C-:2, D:1, F:1, P:1, NP:0, W:2, Total Students:69, Class GPA:3.47",
2023-12-24T06:45:24.595Z,a8e0bba1bde9b2b5a38da0aa6195400a6b3eb360233b6d557d3f7e28add31954,Fall Qtr 2023,MUS 95E,"Henson, Matthew Alexander","A+:0, A:32, A-:0, B+:0, B:0, B-:0, C+:0, C:0, C-:0, D:0, F:0, P:11, NP:0, Total Students:43, Class GPA:4",
2023-12-24T06:45:24.595Z,a8e0bba1bde9b2b5a38da0aa6195400a6b3eb360233b6d557d3f7e28add31954,Sum Ses II 2023,ECE 101,"Wu, Yifan","A+:3, A:8, A-:7, B+:5, B:6, B-:6, C+:4, C:3, C-:4, D:0, F:0, P:0, NP:1, W:1, Total Students:48, Class GPA:3.1",
2023-12-24T06:45:24.595Z,a8e0bba1bde9b2b5a38da0aa6195400a6b3eb360233b6d557d3f7e28add31954,Spring Qtr 2023,CSE 101,"Jones, Miles E","A+:44, A:63, A-:45, B+:27, B:19, B-:11, C+:8, C:4, C-:1, D:1, F:7, P:3, NP:0, W:5, Total Students:238, Class GPA:3.48",
2023-12-24T06:45:24.595Z,a8e0bba1bde9b2b5a38da0aa6195400a6b3eb360233b6d557d3f7e28add31954,Spring Qtr 2023,ECE 45,"Zeger, Kenneth A.","A+:13, A:13, A-:16, B+:17, B:24, B-:5, C+:6, C:7, C-:11, D:24, F:0, P:1, NP:0, W:4, Total Students:141, Class GPA:2.76",
2023-12-24T06:45:24.595Z,a8e0bba1bde9b2b5a38da0aa6195400a6b3eb360233b6d557d3f7e28add31954,Spring Qtr 2023,MUS 95E,"Taylor, Alexander Lawther","A+:44, A:0, A-:0, B+:0, B:0, B-:0, C+:0, C:0, C-:0, D:0, F:0, P:12, NP:0, S:1, U:0, Total Students:57, Class GPA:4",
2023-12-24T06:45:24.595Z,a8e0bba1bde9b2b5a38da0aa6195400a6b3eb360233b6d557d3f7e28add31954,Spring Qtr 2023,PHYS 2C,"Yang, Liang","A+:0, A:4, A-:3, B+:3, B:5, B-:6, C+:4, C:2, C-:0, D:1, F:0, P:0, NP:1, Total Students:29, Class GPA:2.94",
2023-12-24T06:45:24.595Z,a8e0bba1bde9b2b5a38da0aa6195400a6b3eb360233b6d557d3f7e28add31954,Winter Qtr 2023,ECE 65,"Baghdadchi, Saharnaz","A+:0, A:4, A-:7, B+:3, B:6, B-:5, C+:1, C:0, C-:0, D:0, F:1, Total Students:27, Class GPA:3.17",
2023-12-24T06:45:24.595Z,a8e0bba1bde9b2b5a38da0aa6195400a6b3eb360233b6d557d3f7e28add31954,Winter Qtr 2023,ECE 109,"Zeger, Kenneth A.","A+:7, A:19, A-:14, B+:12, B:12, B-:17, C+:5, C:4, C-:10, D:22, F:0, W:2, Total Students:124, Class GPA:2.75",
2023-12-24T06:45:24.595Z,a8e0bba1bde9b2b5a38da0aa6195400a6b3eb360233b6d557d3f7e28add31954,Winter Qtr 2023,PHYS 2B,"Keres, Dusan","A+:1, A:9, A-:4, B+:1, B:1, B-:5, C+:1, C:3, C-:1, D:1, F:1, P:1, NP:0, Total Students:29, Class GPA:3.06",
2023-12-24T06:45:24.595Z,a8e0bba1bde9b2b5a38da0aa6195400a6b3eb360233b6d557d3f7e28add31954,Fall Qtr 2022,CSE 21,"Impagliazzo, Russell","A+:6, A:26, A-:25, B+:18, B:16, B-:14, C+:5, C:3, C-:4, D:0, F:3, P:2, NP:1, W:1, Total Students:124, Class GPA:3.25",
2023-12-24T06:45:24.595Z,a8e0bba1bde9b2b5a38da0aa6195400a6b3eb360233b6d557d3f7e28add31954,Fall Qtr 2022,ECE 35,"Schurgers, Curt","A+:0, A:4, A-:0, B+:2, B:4, B-:3, C+:0, C:1, C-:2, D:0, F:9, Total Students:25, Class GPA:1.92",
2023-12-24T06:45:24.595Z,a8e0bba1bde9b2b5a38da0aa6195400a6b3eb360233b6d557d3f7e28add31954,Fall Qtr 2022,LIGN 101,"Styler, William Francis","A+:21, A:3, A-:1, B+:1, B:1, B-:0, C+:0, C:0, C-:0, D:0, F:0, P:2, NP:0, W:1, Total Students:30, Class GPA:3.93",
2023-12-24T06:45:24.595Z,a8e0bba1bde9b2b5a38da0aa6195400a6b3eb360233b6d557d3f7e28add31954,Fall Qtr 2022,MATH 20D,"Lee, Kisun","A+:5, A:6, A-:4, B+:7, B:3, B-:2, C+:3, C:1, C-:2, D:0, F:1, W:1, Total Students:35, Class GPA:3.19",
2023-12-24T06:45:24.595Z,a8e0bba1bde9b2b5a38da0aa6195400a6b3eb360233b6d557d3f7e28add31954,Fall Qtr 2022,MUS 95E,"Taylor, Alexander Lawther","A+:41, A:0, A-:0, B+:0, B:0, B-:0, C+:0, C:0, C-:0, D:0, F:0, P:6, NP:0, S:2, U:0, Total Students:49, Class GPA:4",
2023-12-24T06:45:24.595Z,a8e0bba1bde9b2b5a38da0aa6195400a6b3eb360233b6d557d3f7e28add31954,Sum Ses II 2022,ETHN 104,"Choi, Esther Min","A+:4, A:18, A-:1, B+:1, B:0, B-:1, C+:0, C:0, C-:0, D:0, F:0, P:2, NP:0, Total Students:27, Class GPA:3.91",
2023-12-24T06:45:24.595Z,a8e0bba1bde9b2b5a38da0aa6195400a6b3eb360233b6d557d3f7e28add31954,Spring Qtr 2022,CSE 20,"Jones, Miles E","A+:4, A:56, A-:37, B+:37, B:13, B-:10, C+:7, C:5, C-:7, D:0, F:15, W:1, Total Students:192, Class GPA:3.16",
2023-12-24T06:45:24.595Z,a8e0bba1bde9b2b5a38da0aa6195400a6b3eb360233b6d557d3f7e28add31954,Spring Qtr 2022,CSE 30,"Muller, P Keith","A+:16, A:52, A-:15, B+:24, B:20, B-:18, C+:3, C:17, C-:8, D:0, F:16, P:3, NP:0, W:12, Total Students:204, Class GPA:3.02",
2023-12-24T06:45:24.595Z,a8e0bba1bde9b2b5a38da0aa6195400a6b3eb360233b6d557d3f7e28add31954,Spring Qtr 2022,DOC 3,"Strom, Megan C.","A+:3, A:11, A-:0, B+:0, B:0, B-:0, C+:0, C:0, C-:0, D:0, F:0, Total Students:14, Class GPA:4",
2023-12-24T06:45:24.595Z,a8e0bba1bde9b2b5a38da0aa6195400a6b3eb360233b6d557d3f7e28add31954,Spring Qtr 2022,MUS 130,"Ohnishi, Takae","A+:0, A:42, A-:0, B+:0, B:1, B-:0, C+:0, C:0, C-:0, D:0, F:0, Total Students:43, Class GPA:3.98",
2023-12-24T06:45:24.595Z,a8e0bba1bde9b2b5a38da0aa6195400a6b3eb360233b6d557d3f7e28add31954,Spring Qtr 2022,PHYS 2A,"Meyertholen, Andrew D.","A+:1, A:1, A-:4, B+:2, B:2, B-:6, C+:1, C:3, C-:3, D:0, F:2, W:1, Total Students:26, Class GPA:2.6",
2023-12-24T06:45:24.595Z,a8e0bba1bde9b2b5a38da0aa6195400a6b3eb360233b6d557d3f7e28add31954,Winter Qtr 2022,CSE 12,"Alvarado, Christine J.","A+:1, A:9, A-:10, B+:9, B:5, B-:3, C+:2, C:0, C-:1, D:0, F:3, P:1, NP:0, Total Students:44, Class GPA:3.17",
2023-12-24T06:45:24.595Z,a8e0bba1bde9b2b5a38da0aa6195400a6b3eb360233b6d557d3f7e28add31954,Winter Qtr 2022,CSE 15L,"Politz, Joseph Gibbs","A+:0, A:43, A-:1, B+:1, B:0, B-:1, C+:0, C:1, C-:0, D:0, F:0, P:1, NP:0, Total Students:48, Class GPA:3.91",
2023-12-24T06:45:24.595Z,a8e0bba1bde9b2b5a38da0aa6195400a6b3eb360233b6d557d3f7e28add31954,Winter Qtr 2022,DOC 2,"Solomon, Amanda Lee Albaniel","A+:0, A:11, A-:0, B+:1, B:1, B-:0, C+:0, C:0, C-:0, D:0, F:0, Total Students:13, Class GPA:3.87",
2023-12-24T06:45:24.595Z,a8e0bba1bde9b2b5a38da0aa6195400a6b3eb360233b6d557d3f7e28add31954,Winter Qtr 2022,MATH 18,"Kemp, Todd Aahron","A+:2, A:4, A-:1, B+:1, B:2, B-:3, C+:2, C:5, C-:1, D:0, F:4, W:1, Total Students:26, Class GPA:2.46",
2023-12-24T06:45:24.595Z,a8e0bba1bde9b2b5a38da0aa6195400a6b3eb360233b6d557d3f7e28add31954,Winter Qtr 2022,MUS 130,"Ohnishi, Takae","A+:0, A:24, A-:0, B+:0, B:0, B-:0, C+:0, C:0, C-:0, D:0, F:0, P:1, NP:0, Total Students:25, Class GPA:4",
2023-12-24T06:45:24.595Z,a8e0bba1bde9b2b5a38da0aa6195400a6b3eb360233b6d557d3f7e28add31954,Fall Qtr 2021,CSE 11,"Politz, Joseph Gibbs","A+:15, A:10, A-:2, B+:8, B:2, B-:6, C+:0, C:0, C-:0, D:2, F:2, W:1, Total Students:48, Class GPA:3.36",
2023-12-24T06:45:24.595Z,a8e0bba1bde9b2b5a38da0aa6195400a6b3eb360233b6d557d3f7e28add31954,Fall Qtr 2021,DOC 1,"Strom, Megan C.","A+:0, A:8, A-:0, B+:0, B:2, B-:0, C+:0, C:2, C-:0, D:0, F:0, W:1, Total Students:13, Class GPA:3.5",
2023-12-24T06:45:24.595Z,a8e0bba1bde9b2b5a38da0aa6195400a6b3eb360233b6d557d3f7e28add31954,Fall Qtr 2021,MATH 20C,"Jin, Muzhi","A+:3, A:3, A-:1, B+:0, B:2, B-:1, C+:0, C:0, C-:0, D:0, F:0, W:1, Total Students:11, Class GPA:3.64",
2023-12-24T06:45:24.595Z,a8e0bba1bde9b2b5a38da0aa6195400a6b3eb360233b6d557d3f7e28add31954,Fall Qtr 2021,MUS 130,"Ohnishi, Takae","A+:0, A:19, A-:0, B+:0, B:0, B-:0, C+:0, C:0, C-:0, D:0, F:0, Total Students:19, Class GPA:4",
2023-12-24T10:54:56.319Z,25044231c351fc1c72f8cc076d7af82876dc74e98fd16e0a84665802506abd04,Fall Qtr 2023,ECE 155,"Milstein, Laurence B.",Grade Distribution is not available for classes with 10 students or less.:null,
2023-12-24T10:54:56.319Z,25044231c351fc1c72f8cc076d7af82876dc74e98fd16e0a84665802506abd04,Spring Qtr 2023,CSE 141L,"Eldon, John","A+:0, A:105, A-:9, B+:6, B:4, B-:16, C+:2, C:24, C-:1, D:0, F:5, S:1, U:0, W:3, Total Students:176, Class GPA:3.39",
2023-12-24T10:54:56.319Z,25044231c351fc1c72f8cc076d7af82876dc74e98fd16e0a84665802506abd04,Spring Qtr 2023,CSE 294,"Orailoglu, Alex","P:11, NP:0, S:5, U:0, Total Students:16, Class GPA:0",
2023-12-24T10:54:56.319Z,25044231c351fc1c72f8cc076d7af82876dc74e98fd16e0a84665802506abd04,Spring Qtr 2023,ECE 111,"Turakhia, Yatish Girish","A+:26, A:44, A-:35, B+:28, B:10, B-:9, C+:1, C:1, C-:1, D:3, F:6, S:1, U:0, W:4, Total Students:169, Class GPA:3.45",
2023-12-24T10:54:56.319Z,25044231c351fc1c72f8cc076d7af82876dc74e98fd16e0a84665802506abd04,Spring Qtr 2023,VIS 84,"Williams, Alena J","A+:6, A:50, A-:47, B+:24, B:29, B-:21, C+:7, C:8, C-:6, D:9, F:11, P:50, NP:3, S:1, U:0, W:3, Total Students:275, Class GPA:3.08",
2023-12-24T10:54:56.319Z,25044231c351fc1c72f8cc076d7af82876dc74e98fd16e0a84665802506abd04,Winter Qtr 2023,CSE 101,"Kane, Daniel Mertz","A+:17, A:34, A-:14, B+:38, B:34, B-:49, C+:8, C:13, C-:3, D:0, F:3, P:2, NP:0, W:2, Total Students:217, Class GPA:3.12",
2023-12-24T10:54:56.319Z,25044231c351fc1c72f8cc076d7af82876dc74e98fd16e0a84665802506abd04,Winter Qtr 2023,CSE 140L,"Chin, Bryan W.","A+:9, A:81, A-:15, B+:10, B:4, B-:2, C+:2, C:1, C-:4, D:0, F:11, W:1, Total Students:140, Class GPA:3.45",
2023-12-24T10:54:56.319Z,25044231c351fc1c72f8cc076d7af82876dc74e98fd16e0a84665802506abd04,Winter Qtr 2023,CSE 141,"Tullsen, Dean Michael","A+:5, A:41, A-:7, B+:17, B:31, B-:12, C+:14, C:22, C-:14, D:3, F:6, P:1, NP:1, W:5, Total Students:179, Class GPA:2.87",
2023-12-24T10:54:56.319Z,25044231c351fc1c72f8cc076d7af82876dc74e98fd16e0a84665802506abd04,Winter Qtr 2023,CSE 294,"Orailoglu, Alex","P:9, NP:0, S:5, U:0, Total Students:14, Class GPA:0",
2023-12-24T10:54:56.319Z,25044231c351fc1c72f8cc076d7af82876dc74e98fd16e0a84665802506abd04,Winter Qtr 2023,ECE 109,"Zeger, Kenneth A.","A+:7, A:19, A-:14, B+:12, B:12, B-:17, C+:5, C:4, C-:10, D:22, F:0, W:2, Total Students:124, Class GPA:2.75",
2023-12-24T10:54:56.319Z,25044231c351fc1c72f8cc076d7af82876dc74e98fd16e0a84665802506abd04,Fall Qtr 2022,CSE 140,"Orailoglu, Alex","A+:7, A:2, A-:2, B+:2, B:1, B-:2, C+:0, C:1, C-:0, D:0, F:0, W:1, Total Students:18, Class GPA:3.55",
2023-12-24T10:54:56.319Z,25044231c351fc1c72f8cc076d7af82876dc74e98fd16e0a84665802506abd04,Fall Qtr 2022,CSE 167,"Chern, Albert Ren-Haur","A+:61, A:29, A-:20, B+:13, B:6, B-:9, C+:4, C:4, C-:3, D:2, F:4, P:1, NP:0, W:6, Total Students:162, Class GPA:3.51",
2023-12-24T10:54:56.319Z,25044231c351fc1c72f8cc076d7af82876dc74e98fd16e0a84665802506abd04,Fall Qtr 2022,ECE 101,"Siegel, Paul H.","A+:6, A:10, A-:2, B+:11, B:12, B-:7, C+:5, C:8, C-:4, D:8, F:3, W:1, Total Students:77, Class GPA:2.7",
2023-12-24T10:54:56.319Z,25044231c351fc1c72f8cc076d7af82876dc74e98fd16e0a84665802506abd04,Fall Qtr 2022,HILD 2A,"Hanna, Mark G.","A+:0, A:7, A-:4, B+:4, B:2, B-:1, C+:0, C:1, C-:0, D:0, F:0, P:10, NP:0, Total Students:29, Class GPA:3.51",
2023-12-24T10:54:56.319Z,25044231c351fc1c72f8cc076d7af82876dc74e98fd16e0a84665802506abd04,Spring Qtr 2022,CSE 110,"Griswold, William G.","A+:2, A:27, A-:14, B+:7, B:6, B-:4, C+:3, C:1, C-:0, D:0, F:1, Total Students:65, Class GPA:3.52",
2023-12-24T10:54:56.319Z,25044231c351fc1c72f8cc076d7af82876dc74e98fd16e0a84665802506abd04,Spring Qtr 2022,ECE 45,"Zeger, Kenneth A.","A+:8, A:13, A-:10, B+:12, B:19, B-:16, C+:8, C:9, C-:9, D:25, F:0, P:1, NP:0, W:4, Total Students:134, Class GPA:2.62",
2023-12-24T10:54:56.319Z,25044231c351fc1c72f8cc076d7af82876dc74e98fd16e0a84665802506abd04,Spring Qtr 2022,LIGN 6,"Styler, William Francis","A+:17, A:23, A-:6, B+:2, B:3, B-:2, C+:0, C:2, C-:0, D:1, F:1, P:5, NP:3, W:3, Total Students:68, Class GPA:3.65",
2023-12-24T10:54:56.319Z,25044231c351fc1c72f8cc076d7af82876dc74e98fd16e0a84665802506abd04,Winter Qtr 2022,CSE 100,"Moshiri, Niema","A+:14, A:196, A-:50, B+:22, B:39, B-:34, C+:15, C:21, C-:11, D:18, F:43, S:4, U:2, W:2, Total Students:471, Class GPA:3.07",
2023-12-24T10:54:56.319Z,25044231c351fc1c72f8cc076d7af82876dc74e98fd16e0a84665802506abd04,Winter Qtr 2022,ECE 65,"Baghdadchi, Saharnaz","A+:0, A:2, A-:4, B+:2, B:0, B-:3, C+:1, C:0, C-:0, D:1, F:0, W:1, Total Students:14, Class GPA:3.14",
2023-12-24T10:54:56.319Z,25044231c351fc1c72f8cc076d7af82876dc74e98fd16e0a84665802506abd04,Winter Qtr 2022,LIGN 101,"Styler, William Francis","A+:3, A:8, A-:2, B+:5, B:1, B-:0, C+:0, C:2, C-:0, D:1, F:1, P:2, NP:1, Total Students:26, Class GPA:3.3",
2023-12-24T10:54:56.319Z,25044231c351fc1c72f8cc076d7af82876dc74e98fd16e0a84665802506abd04,Winter Qtr 2022,PHYS 2B,"Meyertholen, Andrew D.","A+:4, A:5, A-:2, B+:1, B:5, B-:1, C+:6, C:2, C-:5, D:0, F:1, Total Students:32, Class GPA:2.83",
2023-12-24T10:54:56.319Z,25044231c351fc1c72f8cc076d7af82876dc74e98fd16e0a84665802506abd04,Fall Qtr 2021,ECE 35,"Schurgers, Curt","A+:1, A:8, A-:1, B+:0, B:3, B-:1, C+:0, C:3, C-:3, D:2, F:5, W:2, Total Students:29, Class GPA:2.39",
2023-12-24T10:54:56.319Z,25044231c351fc1c72f8cc076d7af82876dc74e98fd16e0a84665802506abd04,Fall Qtr 2021,MATH 20D,"Lee, Kisun","A+:4, A:10, A-:6, B+:3, B:1, B-:0, C+:2, C:2, C-:0, D:0, F:0, S:1, U:0, W:2, Total Students:31, Class GPA:3.56",
2023-12-24T10:54:56.319Z,25044231c351fc1c72f8cc076d7af82876dc74e98fd16e0a84665802506abd04,Fall Qtr 2021,MATH 184,"Suk, Andrew Hoon","A+:2, A:8, A-:4, B+:7, B:5, B-:5, C+:2, C:2, C-:2, D:0, F:0, Total Students:37, Class GPA:3.2",
2023-12-24T10:54:56.319Z,25044231c351fc1c72f8cc076d7af82876dc74e98fd16e0a84665802506abd04,Fall Qtr 2021,PHYS 2C,"Shpyrko, Oleg","A+:2, A:6, A-:0, B+:1, B:11, B-:1, C+:0, C:5, C-:1, D:1, F:2, Total Students:30, Class GPA:2.79",
2023-12-24T10:54:56.319Z,25044231c351fc1c72f8cc076d7af82876dc74e98fd16e0a84665802506abd04,Spring Qtr 2021,COGS 9,"Fleischer, Jason G","A+:0, A:25, A-:13, B+:3, B:3, B-:2, C+:1, C:0, C-:0, D:0, F:1, P:3, NP:1, Total Students:52, Class GPA:3.64",
2023-12-24T10:54:56.319Z,25044231c351fc1c72f8cc076d7af82876dc74e98fd16e0a84665802506abd04,Spring Qtr 2021,CSE 30,"Chin, Bryan W.","A+:38, A:61, A-:16, B+:20, B:14, B-:7, C+:4, C:5, C-:5, D:2, F:2, P:36, NP:11, W:17, Total Students:238, Class GPA:3.52",
2023-12-24T10:54:56.319Z,25044231c351fc1c72f8cc076d7af82876dc74e98fd16e0a84665802506abd04,Spring Qtr 2021,MATH 109,"Luo, Ruth","A+:2, A:4, A-:3, B+:4, B:2, B-:1, C+:0, C:0, C-:0, D:2, F:1, P:6, NP:4, W:1, Total Students:30, Class GPA:3.11",
